,,,,
Time (sec),Yaw_Front_Left (deg),Yaw_Back_Left (deg),Yaw_Back_Right (deg),Yaw_Front_Right (deg)
48.56,157.3984318,142.9782417,157.1655303,169.3041329
48.58459274,157.681109,142.6894054,157.1509922,169.2819903
48.6,157.8579039,142.4139964,157.1510356,169.2757907
48.60942955,157.9453761,142.2021957,157.1651543,169.2846645
48.64,158.067007,141.3158316,157.4620853,169.5386613
48.68,157.9331623,139.770599,158.4194652,170.3383516
48.72,157.6973458,138.0294135,159.8086662,171.4551088
48.76,157.4137551,136.1985681,160.735016,172.2055694
48.8,157.034288,134.2529993,160.8321701,172.1643051
48.81334068,156.9700685,133.6758534,160.8676038,172.1311325
48.84,157.6875079,133.7094044,160.8789624,172.1422151
48.88,158.8026712,133.6859211,160.8380786,172.2454191
48.92,159.9693097,133.6510627,160.7885013,172.3481903
48.96,161.0287414,133.6167837,160.7445014,172.4421529
49,161.9642786,133.5837703,160.7046576,172.5411606
49.04,162.840174,133.5520096,160.6655262,172.6408823
49.08,163.6908073,133.5173504,160.6232397,172.7385109
49.12,164.5113418,133.4778332,160.5767646,172.8372455
49.16,165.2824878,133.4347481,160.5278529,172.9373963
49.2,165.9898197,133.3906905,160.4793846,173.0377298
49.24,166.6490931,133.3477923,160.4323064,173.13672
49.28,167.2771668,133.3048535,160.3850616,173.2330728
49.32,167.8644725,133.2603838,160.3370698,173.3272633
49.36,168.4025238,133.2162576,160.2901704,173.4201516
49.4,168.8999837,133.172905,160.2438743,173.5118832
49.44,169.3774962,133.1463797,160.2168534,173.562292
49.48,169.823037,133.1256662,160.1950102,173.6066896
49.52,170.2278903,133.1037276,160.1718147,173.6556526
49.56,170.6057396,133.0821168,160.148835,173.70288
49.6,170.9487754,133.0611945,160.1281612,173.7460102
49.64,171.2536811,133.0432605,160.1105433,173.7852928
49.68,171.5315209,133.028635,160.0953661,173.8183483
49.72,171.7669181,133.0191682,160.0861721,173.8447494
49.76,171.9582047,133.0164223,160.0831243,173.8604064
49.8,172.1224052,133.0152488,160.082205,173.865017
49.84,172.2551916,133.0107914,160.0811756,173.8623
49.84,172.2551916,133.0107914,160.0811756,173.8623
49.88,172.362287,133.0059927,160.0807344,173.8595335
49.92,172.4490979,133.00157,160.0827896,173.8588046
49.92,172.4490979,133.00157,160.0827896,173.8588046
49.96,172.5163465,132.9975208,160.0869143,173.8594242
50,172.5719475,132.9954609,160.0912082,173.8607721
50.04,172.6194378,132.9934409,160.0949561,173.86317
50.08,172.6525604,132.986777,160.1006023,173.8649559
50.12,172.6764375,132.9798535,160.1063414,173.8651079
50.16,172.6951493,132.9707804,160.111578,173.8639175
50.2,172.7069277,132.9585852,160.1160605,173.859689
50.24,172.7148611,132.9406089,160.1205744,173.8537159
50.28,172.7167134,132.9190098,160.1245938,173.8452561
50.32,172.7163966,132.8898207,160.1296273,173.8342692
50.36,172.7129463,132.8582691,160.1354888,173.8209175
50.4,172.7084955,132.832194,160.1396045,173.8097209
50.44,172.7050895,132.8209801,160.1405113,173.8015317
50.48,172.7033059,132.8160801,160.1408959,173.7941005
50.52,172.7020049,132.8125183,160.1411082,173.7873034
50.56,172.7009252,132.8093193,160.1411752,173.7811657
50.6,172.6999672,132.8062622,160.1411218,173.7755427
50.64,172.6991329,132.8033889,160.140978,173.7703487
50.68,172.6984534,132.8008225,160.1407706,173.7655256
50.72,172.6979269,132.7984829,160.1404908,173.7611577
50.76,172.6972157,132.7953975,160.1402684,173.7569641
50.8,172.6939268,132.7841926,160.140738,173.7514569
50.84,172.6880741,132.7676061,160.1392545,173.7438361
50.88,172.6796494,132.7502353,160.1334153,173.7318805
50.92,172.6679955,132.731507,160.1226691,173.7143293
50.96,172.6511786,132.7065903,160.1058541,173.6902124
51,172.628117,132.6735574,160.082061,173.6585814
51.04,172.5981595,132.6320399,160.0503806,173.6186694
51.08,172.5622445,132.5834917,160.0116364,173.5714408
51.12,172.5192146,132.5290003,159.9632861,173.5148091
51.16,172.4710492,132.4764063,159.9057714,173.4496813
51.2,172.41815,132.447375,159.8335744,173.3697641
51.24,172.3507534,132.4273987,159.7358728,173.2636231
51.28,172.2601442,132.4022101,159.603929,173.1217446
51.32,172.1338446,132.3619388,159.4222386,172.9274224
51.36,171.9541301,132.2943889,159.1690015,172.6571079
51.4,171.719658,132.1997781,158.845695,172.3098203
51.44,171.4238628,132.0852884,158.444183,171.8781864
51.48,171.1062828,132.0286198,158.0031967,171.4074971
51.52,170.7925105,132.059644,157.558012,170.9353864
51.56,170.4838826,132.2018841,157.1145489,170.4655383
51.6,170.1723724,132.439847,156.6721823,169.9968423
51.64,169.8516135,132.7697759,156.2310434,169.5295752
51.68,169.5119549,133.2092691,155.7876481,169.0605042
51.72,169.1416983,133.7523226,155.337686,168.5908299
51.76,168.7260788,134.4203384,154.8783315,168.119198
51.8,168.2451263,135.228656,154.4124399,167.6436873
51.84,167.6648136,136.2012167,153.9387266,167.1629204
51.88,166.9420789,137.3544921,153.4623186,166.6786595
51.92,165.999296,138.765566,152.9943142,166.201021
51.96,164.6897213,140.5156194,152.5492609,165.7418982
52,162.689084,142.8014669,152.1786835,165.347395
52.04,159.7109117,145.1603583,151.8745494,164.9674081
