Rover_Displacement_Along_X_Axis,
Time (sec),Linear Displacement1 (mm)
26.92,2475.212511
26.96,2480.98303
27,2486.789251
27.04,2492.628157
27.08,2498.498544
27.12,2504.400979
27.16,2510.332964
27.2,2516.290588
27.24,2522.269945
27.28,2528.271348
27.32,2534.294868
27.36,2540.337688
27.4,2546.396449
27.44,2552.469803
27.48,2558.560581
27.52,2564.666419
27.56,2570.78445
27.6,2576.912699
27.64,2583.053173
27.68,2589.205699
27.72,2595.367724
27.76,2601.536858
27.8,2607.713668
27.84,2613.900175
27.88,2620.094501
27.92,2626.294433
27.96,2632.498469
28,2638.709869
28.04,2644.927734
28.08,2651.149927
28.11553539,2656.967234
28.12,2657.736293
28.13779201,2660.829621
28.16,2664.643109
28.2,2669.98026
28.24,2672.5969
28.28,2673.632331
28.32,2674.483303
28.36,2675.863769
28.4,2677.839543
28.44,2680.138296
28.48,2682.651341
28.52,2685.356966
28.56,2688.199337
28.6,2691.174769
28.64,2694.373055
28.68,2697.786218
28.72,2701.353223
28.76,2705.036528
28.8,2708.887182
28.84,2712.939771
28.88,2717.141386
28.9,2719.283175
28.92,2721.450492
28.96,2725.869269
29,2730.464915
29.04,2735.230024
29.08,2740.108493
29.12,2745.076041
29.16,2750.174381
29.2,2755.434364
29.24,2760.81101
29.28,2766.278881
29.32,2771.88222
29.36,2777.611848
29.4,2783.423386
29.44,2789.324118
29.48,2795.295859
29.52,2801.321504
29.56,2807.384958
29.6,2813.473405
29.64,2819.585163
29.68,2825.723464
29.72,2831.8785
29.76,2838.049493
29.8,2844.236405
29.84,2850.433112
29.88,2856.639531
29.92,2862.853342
29.96,2869.074645
30,2875.300703
30.04,2881.533482
30.05,2883.097391
30.08,2887.800133
30.10125,2891.136006
30.12,2894.078602
30.16,2900.359935
30.2,2906.642098
30.24,2912.924011
30.28,2919.206367
30.31,2923.9193
30.32,2925.489668
30.36,2931.77344
30.4,2938.056337
30.44,2944.340538
30.45,2945.911683
30.48,2950.626109
30.52,2956.914096
30.56,2963.205101
30.6,2969.501068
30.64,2975.798273
30.67,2980.525676
30.68,2982.101997
30.71083333,2986.955586
30.72,2988.396126
30.76,2994.628277
30.8,3000.790497
30.84,3006.905243
30.88,3012.993467
30.92,3019.06793
30.94,3022.097799
30.96,3025.120633
31,3031.17756
31.04,3037.243094
31.0425,3037.620275
31.08,3043.260062
31.12,3049.264145
31.16,3055.272442
31.2,3061.286113
31.24,3067.271583
31.28,3073.189084
31.32,3079.080653
31.36,3084.94723
31.4,3090.768239
31.44,3096.548268
31.48,3102.285718
31.52,3107.975843
31.56,3113.32093
31.57352599,3115.036209
31.6,3118.236397
31.64,3122.462233
31.68,3125.986266
31.72,3129.05919
31.76,3131.781422
31.79218701,3133.695603
31.8,3134.362714
31.80782863,3135.13316
31.84,3138.336324
31.88,3141.628663
31.92,3144.928179
31.96,3148.959953
32,3152.896034
32.04,3157.723897
32.08,3163.896597
32.12,3170.312109
32.16,3176.573267
32.2,3182.895011
32.24,3189.218245
32.28,3195.544617
32.32,3201.948021
32.36,3208.378968
32.4,3214.78733
32.44,3221.158673
32.48,3227.499938
32.52,3233.824286
32.56,3240.143887
32.6,3246.459902
32.64,3252.773478
32.68,3259.096871
32.72,3265.428566
32.76,3271.752564
32.8,3278.058853
32.84,3284.349136
32.88,3290.63043
32.92,3296.907485
32.96,3303.182122
33,3309.454119
33.04,3315.724558
33.08,3321.993207
33.09,3323.561102
33.12,3328.262405
33.16,3334.533206
33.2,3340.805633
33.24,3347.07747
33.28,3353.348937
33.32,3359.620827
33.36,3365.893333
33.4,3372.164447
33.44,3378.435079
33.48,3384.706568
33.52,3390.978859
33.56,3397.250955
33.6,3403.52189
33.64,3409.793809
33.68,3416.066621
33.72,3422.3398
33.76,3428.612759
33.7675,3429.789689
33.8,3434.886064
33.84,3441.156162
33.87,3445.859485
33.88,3447.426508
33.92,3453.694261
33.96,3459.963105
34,3466.231832
34.04,3472.504166
34.06166667,3475.903133
34.08,3478.781863
34.12,3485.065998
34.16,3491.361403
34.2,3497.670041
34.24,3503.991497
34.28,3510.327846
34.32,3516.681663
34.36,3523.054827
34.4,3529.44439
34.44,3535.850419
34.48,3542.277224
34.52,3548.726588
34.56,3555.200326
34.6,3561.703616
34.64,3568.237885
34.68,3574.803231
34.72,3581.408958
34.76,3588.062086
34.8,3594.76334
34.84,3601.525063
34.88,3608.566143
34.92,3616.186246
34.9377474,3619.766797
34.96,3623.782931
35,3629.622749
35.04,3635.359177
35.08,3641.463847
35.12,3647.747817
35.16,3654.059882
35.2,3660.349299
35.24,3666.629054
35.28,3672.90862
35.32,3679.188365
35.36,3685.467372
35.4,3691.746104
35.44,3698.025284
35.48,3704.30487
35.52,3710.583489
35.52,3710.583489
35.56,3716.86149
35.6,3723.139854
35.64,3729.418543
35.68,3735.697041
35.72,3741.974599
35.76,3748.252306
35.8,3754.530741
35.84,3760.809112
35.85,3762.378172
35.88,3767.08675
35.92,3773.363772
35.96,3779.641392
36,3785.919361
36.04,3792.197079
36.08,3798.473788
