"Plot22"
"Time (sec)","Velocity1 (mm/sec)"
19.9599999999998,157.06154938367
19.9999999999998,157.054979900024
19.9999999999998,157.054979900024
20.0399999999998,157.005095368921
20.0799999999997,156.997349761006
20.1199999999997,157.027115266099
20.1599999999997,157.0725358292
20.1999999999997,157.021235401738
20.2399999999997,156.999928725108
20.2799999999997,157.01690775568
20.3199999999997,157.058175851772
20.3599999999997,157.048444790134
20.3999999999997,157.011122298062
20.4399999999997,157.011376396854
20.4799999999997,157.055072064518
20.5199999999997,157.166811223457
20.5599999999997,157.155673007446
20.5999999999997,157.122386240638
20.6399999999997,157.258193981928
20.6799999999997,157.339702525694
20.7199999999997,157.28534936726
20.7599999999997,157.120851847209
20.7999999999997,157.070705075788
20.8399999999997,157.106557645657
20.8799999999997,157.164726591313
20.9199999999997,157.157997809731
20.9599999999997,157.180393977885
20.9999999999997,157.276799028791
21.0399999999997,157.45882703944
21.0799999999997,157.480622851454
21.1199999999997,157.539952326448
21.1599999999997,157.709522028301
21.1999999999997,158.174914386594
21.2399999999997,158.511653624601
21.2799999999997,160.324845904229
21.3199999999997,163.797299244812
21.3599999999997,168.049436547347
21.3999999999997,172.482658373444
21.4399999999997,176.856412621345
21.4799999999997,182.188812817409
21.5199999999997,189.053058313758
21.5599999999997,197.476912616001
21.5999999999997,208.833570972268
21.6399999999997,224.193782707668
21.6624999999997,232.406410080377
21.6799999999997,191.27471356036
21.7199999999997,168.663305632246
21.7599999999997,172.672797432913
21.7999999999997,171.562096066275
21.8399999999997,169.869260541626
21.8799999999997,168.796064461251
21.9199999999997,168.003613293661
21.9599999999997,167.031148495563
21.9999999999997,166.111621139026
22.0299999999997,165.800991687018
22.0399999999997,165.447911783828
22.0799999999997,164.957650268005
22.1199999999997,164.350188198534
22.1599999999997,163.63200697856
22.1999999999997,163.073283850819
22.2399999999997,162.698201899109
22.2799999999997,162.428739532909
22.3199999999997,161.841507293035
22.3599999999997,161.38090939539
22.3799999999997,161.429052313283
22.3999999999997,161.089357339527
22.4399999999997,160.932021995048
22.4799999999997,160.602428674427
22.5199999999997,160.189811157457
22.5599999999997,159.923685137426
22.5999999999997,159.826723590478
22.6399999999997,159.728839727094
22.6799999999997,159.356713674186
22.7199999999997,159.10875588261
22.7599999999997,159.017597261556
22.7999999999997,159.03154899799
22.8399999999997,158.784309107401
22.8799999999997,158.523557839556
22.9199999999997,158.410730942564
22.9599999999997,158.455138589047
22.9999999999997,158.404326180894
23.0399999999997,158.141564756345
23.0799999999997,158.004911754807
23.1127411826325,163.476240916689
23.1199999999997,168.128477422912
23.1599999999997,173.165536479164
23.1796846550377,156.349341977246
23.1999999999997,124.4992490418
23.2399999999997,83.9348716983552
23.2799999999997,87.2971084505701
23.3199999999997,91.3818826905296
23.3599999999997,93.3228964043739
23.3999999999997,95.6140826194077
23.4399999999997,97.3315206467344
23.4399999999997,97.3315206467344
23.4799999999997,100.546498074303
23.4899999999997,101.104466271621
23.5199999999997,103.441540355878
23.5599999999997,105.125961729712
23.5999999999997,107.213760639521
23.6399999999997,111.540153705303
23.6799999999997,115.070979500186
23.7199999999997,117.276432616477
23.7599999999997,119.289657735779
23.7999999999997,122.965657762385
23.8399999999997,127.072572730746
23.8699999999997,129.033922312347
23.8799999999997,129.914618071795
23.9199999999997,131.952973046434
23.9599999999997,134.142110920873
23.9699999999997,134.924377639723
23.9999999999997,137.87956733006
24.0399999999997,141.025408730066
24.0799999999997,142.979854864057
24.1199999999997,144.692252745681
24.1299999999997,145.210335155177
24.1599999999997,147.208517264509
24.1999999999997,150.190783512522
24.2399999999997,152.125516988987
24.2799999999997,153.45455449728
24.3199999999997,156.049818106926
24.3599999999997,158.196440307119
24.3999999999997,159.777518311469
24.4399999999997,160.193302383299
24.4799999999997,155.628441258494
24.5199999999997,155.734902179906
24.5599999999997,156.387692435639
24.5999999999997,156.674205564139
24.6399999999997,156.627650059788
24.6799999999997,156.853114244255
24.7199999999997,157.030317471647
24.7299999999997,156.957563401227
24.7599999999996,157.09416481904
24.7999999999996,157.105449508274
24.8399999999996,157.049642865337
24.8799999999996,157.016834846171
24.9199999999996,156.998375503069
24.9599999999996,157.018984378198
24.9787499999996,156.994519871367
24.9999999999996,156.978993305298
25.0399999999996,156.974900054993
25.0799999999996,157.004937127653
25.0891666666663,156.976913357281
25.1199999999996,157.020297318409
25.1599999999996,156.982901418679
25.1999999999996,156.969819819385
25.2399999999996,156.98657284498
25.244583333333,156.975782502186
25.2799999999996,157.040311151677
25.3199999999996,156.993722837846
25.3462499999996,156.98023022976
25.3599999999996,156.969759885851
25.3999999999996,156.999858990722
25.4399999999996,157.020426082263
25.4799999999996,157.028463852669
25.5199999999996,157.134974781156
25.5599999999996,157.181249118262
25.5999999999996,157.35848310298
25.6399999999996,157.548472183061
25.6799999999996,157.689547322972
25.7199999999996,158.070720003622
25.7599999999996,158.428571636706
25.7999999999996,158.927367236218
25.8224999999996,158.9682014577
25.8399999999996,159.666963797899
25.8799999999996,163.22623645044
25.9199999999996,167.366737242971
25.9599999999996,171.651722293255
25.9599999999996,171.651722293255
25.9999999999996,174.772700867757
26.0099999999996,175.537513704115
26.0399999999996,179.0509085794
26.0799999999996,183.911114890271
26.1199999999996,188.135119970499
26.1599999999996,191.942530806328
26.1999999999996,195.943646156584
26.2399999999996,199.700188563223
26.2799999999996,203.393981034311
26.3199999999996,208.954713209271
26.3599999999996,215.748115240341
26.3999999999996,222.689225386402
26.4399999999996,232.367054304738
26.4799999999996,246.537535067478
26.5199999999996,266.212356595861
26.5599999999996,303.698824849022
26.5999999999996,377.114792912381
26.6171801757809,431.275981170431
26.6399999999996,272.2569139489
26.6799999999996,164.711541078651
26.7199999999996,142.974262537984
26.7599999999996,137.825195127389
26.7999999999996,140.261616215827
26.8399999999996,142.261660882163
26.8799999999996,143.27699524669
26.9199999999996,143.938649828636
26.9599999999996,144.787113659907
26.9999999999996,145.787324271135
27.0399999999996,146.710118599567
27.0799999999996,147.236354553512
27.1199999999996,147.791249983716
27.1599999999996,148.50714386877
27.1999999999996,149.305193614374
27.2399999999996,149.867346376937
27.2799999999996,150.206411733247
27.3199999999996,150.654826084336
27.3599999999996,151.240352876199
27.3999999999996,151.837735415168
27.4399999999996,152.010045954247
27.4799999999996,152.28381043481
27.5199999999996,152.690466143866
27.5599999999996,153.183861085484
27.5999999999996,153.408065102676
27.6399999999996,153.525473891323
27.6799999999996,153.764393727356
27.7199999999996,154.1516086337
27.7599999999996,154.469682774492
27.7999999999996,154.480384223768
27.8399999999996,154.599065740944
27.8799999999996,154.862608617782
27.9199999999996,155.203938450082
27.9599999999996,155.212643713098
27.9999999999996,155.218831726502
28.0399999999996,155.370926993299
28.0799999999996,155.653563817203
28.1155353919151,177.209936430995
28.1199999999996,177.306463168325
28.1377920106784,187.077997477387
28.1599999999996,178.562416264522
28.1999999999996,117.670176380475
28.2399999999996,85.5594363718326
28.2799999999996,88.7900990194772
28.3199999999996,91.7709260589167
28.3599999999996,95.1823159762205
28.3999999999996,98.2382399677079
28.4399999999996,100.286473228478
28.4799999999996,102.678011787629
28.5199999999996,104.261885211321
28.5599999999996,105.711043549482
28.5999999999996,108.416854221854
28.6399999999996,111.547448597291
28.6799999999996,113.598883189272
