"Plot23"
"Time (sec)","Velocity2 (mm/sec)"
13.2924999999999,157.412721817884
13.3199999999999,157.371916987279
13.3287499999999,157.34644368906
13.3599999999999,157.438870055932
13.3999999999999,157.546285161298
13.4399999999999,157.440301501995
13.4799999999999,157.545380056081
13.5199999999999,157.711998298821
13.5599999999999,157.678954049993
13.5999999999999,157.807225311988
13.6399999999999,157.840804005526
13.6799999999999,157.615835174005
13.7199999999999,158.161515196459
13.7599999999999,158.727482783606
13.7999999999999,155.983053186176
13.8399999999999,153.425511480369
13.8799999999999,154.188096655488
13.9199999999999,148.559350477344
13.9599999999999,145.486504182298
13.9999999999999,143.938653168272
14.0399999999999,148.740050355635
14.0799999999999,151.70357402354
14.1199999999999,149.245577169664
14.1599999999999,142.825927864973
14.1999999999999,136.798729567476
14.2399999999999,135.907663311451
14.2799999999999,133.886038092298
14.3199999999999,129.139761827269
14.3599999999999,126.849979391467
14.3999999999999,127.938995321062
14.4399999999999,141.488146308981
14.4799999999999,139.887716899494
14.5199999999999,140.286968765275
14.5599999999999,132.483859639012
14.5999999999999,120.373196716301
14.6399999999999,118.66310945516
14.6799999999999,118.7522304394
14.7199999999999,116.582681613099
14.7599999999999,115.661572412406
14.7999999999999,114.188500897139
14.8399999999999,113.778346006369
14.8799999999999,113.227231355266
14.9199999999999,113.191402297202
14.9599999999999,114.380395328662
14.9999999999999,122.645587911844
15.0399999999999,128.665335024036
15.0799999999999,127.727879478296
15.1199999999999,125.09850007985
15.1199999999999,125.09850007985
15.1599999999999,121.548871737813
15.1599999999999,121.548871737813
15.1999999999999,118.813396742879
15.2399999999999,114.980813847499
15.2799999999999,112.830812233547
15.3199999999998,111.360244927177
15.3199999999998,111.360244927177
15.3599999999998,109.009597004404
15.3925841307473,111.773440038388
15.3999999999998,111.543329877729
15.4399999999998,115.085162485625
15.4799999999998,107.681293143659
15.4946202878963,101.277119104944
15.5199999999998,96.2401933543018
15.5543340845583,88.372265224697
15.5599999999998,88.1380324413363
15.5999999999998,88.9600435549794
15.6399999999998,90.4884817549682
15.6606249999998,91.2199560680607
15.6799999999998,92.2483341540971
15.7099999999998,91.9092735478366
15.7199999999998,91.8319296986399
15.7599999999998,91.6618450311895
15.7999999999998,92.1799615241481
15.8399999999998,89.0510231877208
15.8799999999998,87.2097930256874
15.9199999999998,87.3884957211479
15.9599999999998,80.2088048479299
15.9999999999998,74.3510808396511
16.0399999999998,72.6819003826751
16.0799999999998,71.5002715013098
16.1199999999998,66.7240279210122
16.1599999999998,57.6977548262895
16.1999999999998,54.6691464953154
16.2399999999998,59.9621366264957
16.2799999999998,65.1045345146052
16.2799999999998,65.1045345146052
16.3199999999998,54.2008950057733
16.3599999999998,42.9640338183608
16.3863736979165,34.8080912144036
16.3999999999998,30.0129818665644
16.4399999999998,18.4327738139625
16.4799999999998,14.5692267128821
16.5199999999998,18.6624806508937
16.5599999999998,25.9122527868144
16.5999999999998,30.8488624502926
16.6399999999998,32.269982111969
16.6799999999998,32.3034536834437
16.7199999999998,33.0161112194956
16.7599999999998,32.5723739315583
16.7999999999998,-91.4856277690285
16.8399999999998,6.20356531606568
16.8799999999998,77.3206017440979
16.9199999999998,53.8727558466663
16.9599999999998,24.0565668065011
16.9999999999998,13.6444531025584
17.0399999999998,15.3574977506139
17.0799999999998,18.9691661997747
17.1199999999998,16.6389579445074
17.1599999999998,4.28007687217086
17.1999999999998,-23.4108123644207
17.2328640747068,-44.1956810761728
17.2399999999998,51.9641941495803
17.2548483785154,185.181944750623
17.2695206342879,201.381170669203
17.2799999999998,166.063384494475
17.2937387962841,157.676560727106
17.3199999999998,159.21663108914
17.3599999999998,175.726899872148
17.3999999999998,179.06157184358
17.4399999999998,157.418536152049
17.4799999999998,158.612657805761
17.5199999999998,158.969171671233
17.5599999999998,158.510193614323
17.5999999999998,158.147796479894
17.6299999999998,158.255124019964
17.6399999999998,158.110797422502
17.6799999999998,158.16475515182
17.7199999999998,157.961988857467
17.7599999999998,157.76092737812
17.7999999999998,157.701483836554
17.8399999999998,157.796976785099
17.8799999999998,157.827021915817
17.9199999999998,157.607401904331
17.9599999999998,157.499517322334
17.9999999999998,157.547714823612
18.0399999999998,157.683296913557
18.0799999999998,157.494671776386
18.1199999999998,157.338554016707
18.1599999999998,157.343289253502
18.1999999999998,157.478086619541
18.2069193334299,157.380058694776
18.2399999999998,145.949331908211
18.2799999999998,146.070578892096
18.3199999999998,114.682661099999
18.3599999999998,37.1697597968024
18.3999999999998,5.16695975350236
18.4399999999998,14.5078594513045
18.4799999999998,33.0033440811674
18.5199999999998,44.1069115103878
18.5599999999998,53.0434157995971
18.5999999999998,59.2356980869923
18.6399999999998,62.9332125704089
18.6799999999998,68.8733324219233
18.7199999999998,77.0128663141278
18.7599999999998,82.3245090533725
18.7999999999998,86.104332258539
18.8399999999998,93.2287921098497
18.8799999999998,112.338781860908
18.9199999999998,127.661217280151
18.9599999999998,129.164189245802
18.9999999999998,131.134586744467
19.0399999999998,132.692378085613
19.0799999999998,133.763684605324
19.1199999999998,134.546940076317
19.1599999999998,148.813047136245
19.1999999999998,155.473810383959
19.2399999999998,156.429991683569
19.2799999999998,156.703798893942
19.3199999999998,156.181543348436
19.3599999999998,155.874502517208
19.3999999999998,156.499582310411
19.4399999999998,156.82497037237
19.4799999999998,156.904431401827
19.5199999999998,156.893946779342
19.5599999999998,156.915805992128
19.5999999999998,156.975594081769
19.6399999999998,157.017491952583
19.6799999999998,156.952629174433
19.7199999999998,156.935293368121
19.7599999999998,156.967613613854
19.7999999999998,157.206426896935
19.8399999999998,157.092220064323
19.8799999999998,157.082711603085
19.9199999999998,157.062318901149
19.9199999999998,157.062318901149
19.9599999999998,157.061483413333
19.9999999999998,157.054870952414
19.9999999999998,157.054870952414
20.0399999999998,157.004784028198
20.0799999999997,156.997032167177
20.1199999999997,157.027078941524
20.1599999999997,157.071932617767
20.1999999999997,157.021117286662
20.2399999999997,156.999443852472
20.2799999999997,157.016826040591
20.3199999999997,157.057928129572
20.3599999999997,157.048403333843
20.3999999999997,157.010767450351
20.4399999999997,157.01114374925
20.4799999999997,157.054989232293
20.5199999999997,157.166757057988
20.5599999999997,157.154513155051
20.5999999999997,157.120693721671
20.6399999999997,157.256547057786
20.6799999999997,157.339194588862
20.7199999999997,157.284722604146
20.7599999999997,157.120204885085
20.7999999999997,157.063582792314
20.8399999999997,157.087492028277
20.8799999999997,157.133846488229
20.9199999999997,157.116672247721
20.9599999999997,157.114685898098
20.9999999999997,157.165622391865
21.0399999999997,157.278700593207
21.0799999999997,157.26431104876
21.1199999999997,157.267375938374
21.1599999999997,157.335628262699
21.1999999999997,157.646009634339
21.2399999999997,157.845174841736
21.2799999999997,159.547203109795
21.3199999999997,162.8839890048
21.3599999999997,166.910888459477
21.3999999999997,171.107241659387
21.4399999999997,175.325064375871
21.4799999999997,180.342249253767
21.5199999999997,186.649369556847
21.5599999999997,194.259474155908
21.5999999999997,204.381072365424
21.6399999999997,217.630120035255
21.6624999999997,224.579905697879
21.6799999999997,188.596031058357
21.7199999999997,167.847860367628
21.7599999999997,171.954767840957
21.7999999999997,171.328656418656
21.8399999999997,169.73655851536
21.8799999999997,168.677217134748
21.9199999999997,167.89407426908
21.9599999999997,166.921818810262
21.9999999999997,166.012627130615
22.0299999999997,165.730557599924
22.0399999999997,165.371382773287
22.0799999999997,164.895958948318
22.1199999999997,164.296860529913
22.1599999999997,163.576495164487
22.1999999999997,163.025735627522
22.2399999999997,162.664246255752
22.2799999999997,162.4046654149
22.3199999999997,161.810934201677
22.3599999999997,161.351816004464
22.3799999999997,161.410373641805
22.3999999999997,161.068183887012
22.4399999999997,160.918630561583
22.4799999999997,160.588264298594
22.5199999999997,160.173283660631
22.5599999999997,159.910504061021
22.5999999999997,159.819380797392
22.6399999999997,159.723301381393
22.6799999999997,159.347528754454
22.7199999999997,159.100209823156
22.7599999999997,159.012676228303
22.7999999999997,159.029294766074
22.8399999999997,158.780243093706
22.8799999999997,158.518213391155
22.9199999999997,158.407147549062
22.9599999999997,158.453787167364
22.9999999999997,158.403080561839
23.0399999999997,158.138539581816
23.0799999999997,158.002315282552
23.1127411826325,162.88217453051
23.1199999999997,165.535739628127
23.1599999999997,159.401153499472
23.1796846550377,138.341274260667
23.1999999999997,101.753273069711
23.2399999999997,33.3389828232113
23.2799999999997,8.55076577504871
23.3199999999997,16.0468488172754
23.3599999999997,32.7654753309824
23.3999999999997,47.6728651666055
23.4399999999997,56.4030688962189
23.4399999999997,56.4030688962189
23.4799999999997,64.2794208126066
23.4899999999997,66.0698028635685
23.5199999999997,71.4593687769833
23.5599999999997,76.3372441376423
23.5999999999997,80.7690954514785
23.6399999999997,88.1428239430882
23.6799999999997,94.6867053989033
23.7199999999997,99.10140613095
23.7599999999997,102.730063464403
23.7999999999997,108.149046208682
23.8399999999997,114.429724045242
23.8699999999997,117.806532441913
23.8799999999997,119.014582528907
23.9199999999997,122.310074191086
23.9599999999997,125.476117582053
23.9699999999997,126.536204900385
23.9999999999997,130.482606998862
24.0399999999997,134.94958979198
24.0799999999997,137.860870331382
24.1199999999997,140.236389839981
24.1299999999997,140.897454158077
24.1599999999997,143.445482394281
24.1999999999997,147.333257713703
24.2399999999997,149.92727301958
24.2799999999997,151.666369511708
24.3199999999997,154.332851199905
24.3599999999997,156.59703754031
24.3999999999997,158.410028891893
24.4399999999997,159.442601342938
24.4799999999997,155.089809811073
24.5199999999997,155.359260945745
24.5599999999997,156.176455011522
24.5999999999997,156.564444907739
24.6399999999997,156.555548136093
24.6799999999997,156.820544885756
24.7199999999997,157.018484607444
24.7299999999997,156.948437831746
24.7599999999996,157.08642065518
24.7999999999996,157.105350903653
24.8399999999996,157.049582062391
24.8799999999996,157.01594599339
24.9199999999996,156.998078669021
24.9599999999996,157.017977695466
24.9787499999996,156.994435456338
24.9999999999996,156.97748334582
25.0399999999996,156.974709952475
25.0799999999996,157.004640336732
25.0891666666663,156.976877422178
25.1199999999996,157.020260706803
25.1599999999996,156.982564477225
25.1999999999996,156.969626119103
25.2399999999996,156.986436361721
25.244583333333,156.97574944206
25.2799999999996,157.039844836114
25.3199999999996,156.993448740408
25.3462499999996,156.980187992871
25.3599999999996,156.969152607669
25.3999999999996,156.999643155433
25.4399999999996,157.019768136386
25.4799999999996,157.025428325258
25.5199999999996,157.129342088585
25.5599999999996,157.168836553172
25.5999999999996,157.343940529613
25.6399999999996,157.51471402612
25.6799999999996,157.603401572114
25.7199999999996,157.960877633256
25.7599999999996,158.275869887288
25.7999999999996,158.73074895908
25.8224999999996,158.729297411581
25.8399999999996,159.404516821894
25.8799999999996,162.691799903166
25.9199999999996,166.239686586849
25.9599999999996,169.645244853164
25.9599999999996,169.645244853164
25.9999999999996,171.944549829499
26.0099999999996,172.503795058718
26.0399999999996,174.875433456369
26.0799999999996,178.015741334581
26.1199999999996,180.703902522193
26.1599999999996,182.805742669411
26.1999999999996,184.453774373265
26.2399999999996,185.874320348757
26.2799999999996,187.084778952718
26.3199999999996,188.652161562312
26.3599999999996,190.238130327647
26.3999999999996,191.072281943356
26.4399999999996,191.666640616565
26.4799999999996,191.852195144449
26.5199999999996,190.489504311139
26.5599999999996,186.028302520321
26.5999999999996,173.221346211724
26.6171801757809,161.655599829156
26.6399999999996,206.217155937457
26.6799999999996,163.276252616947
26.7199999999996,138.274047381458
26.7599999999996,136.629393954654
26.7999999999996,139.7512100025
26.8399999999996,141.792589922694
26.8799999999996,142.845062210512
26.9199999999996,143.585735727167
26.9599999999996,144.487928591707
26.9999999999996,145.521834089587
27.0399999999996,146.482121178959
27.0799999999996,147.062733038132
27.1199999999996,147.649249739258
27.1599999999996,148.383830205108
27.1999999999996,149.187474554491
27.2399999999996,149.770849949715
27.2799999999996,150.135551478644
27.3199999999996,150.593814049574
27.3599999999996,151.179536522123
27.3999999999996,151.780017942573
27.4399999999996,151.973386342502
27.4799999999996,152.254973033796
27.5199999999996,152.661540415315
27.5599999999996,153.153201806104
27.5999999999996,153.386299446198
27.6399999999996,153.511183459209
27.6799999999996,153.751056949622
27.7199999999996,154.135748519314
27.7599999999996,154.455288942382
27.7999999999996,154.473057935446
27.8399999999996,154.593282119427
27.8799999999996,154.855179641424
27.9199999999996,155.194412919385
27.9599999999996,155.208062816053
27.9999999999996,155.216364801975
28.0399999999996,155.367936142542
28.0799999999996,155.648766400732
28.1155353919151,172.172918937316
28.1199999999996,171.403118505382
28.1377920106784,174.983747036623
28.1599999999996,163.854676133716
28.1999999999996,97.3275621154001
28.2399999999996,37.4438360186434
28.2799999999996,18.6176993639884
28.3199999999996,26.3006579196781
28.3599999999996,43.597839489393
28.3999999999996,55.8844720512214
28.4399999999996,61.7777107231139
28.4799999999996,67.4335022365943
28.5199999999996,71.6469784609468
28.5599999999996,74.870928026072
28.5999999999996,79.7636002718002
28.6399999999996,86.0592904604833
28.6799999999996,90.653034908806
28.7199999999996,93.9668549473244
28.7599999999996,97.2786350021805
28.7999999999996,102.759012720061
28.8399999999996,107.193180362285
28.8799999999996,110.165935657581
28.8999999999996,111.701934667516
28.9199999999996,112.795812303822
28.9599999999996,116.370032526873
28.9999999999996,121.142202347828
29.0399999999996,124.386379859391
29.0799999999996,126.691439398462
29.1199999999996,129.043370164059
29.1599999999996,133.092828030761
29.1999999999996,136.249492738585
29.2399999999996,138.427885013867
29.2799999999996,140.773487018061
29.3199999999996,144.299847233261
29.3599999999996,146.424089610757
29.3999999999996,148.010368874816
29.4399999999996,149.888503675385
29.4799999999995,151.23400594248
29.5199999999995,152.223225591634
29.5599999999995,152.705651834186
29.5999999999995,153.090763281254
29.6399999999995,153.633914008225
29.6799999999995,154.158425312803
29.7199999999995,154.345540529904
29.7599999999995,154.579830126074
29.7999999999995,154.896732351769
29.8399999999995,155.115552045985
29.8799999999995,155.3537540907
29.9199999999995,155.406852895154
29.9599999999995,155.456190307734
29.9999999999995,155.669873538799
30.0399999999995,156.212704682576
30.0499999999995,156.507383124627
30.0799999999995,156.917059222521
30.1012499999995,156.968817006275
30.1199999999995,156.971004444086
30.1599999999995,157.01214723885
30.1999999999995,157.088075012725
30.2399999999995,157.107382553098
30.2799999999995,157.067811838221
30.3099999999995,157.077534140235
30.3199999999995,157.057147213082
30.3599999999995,157.103538255093
30.3999999999995,157.100751918711
30.4399999999995,157.084717829502
30.4499999999995,157.08199179132
30.4799999999995,157.190060356576
30.5199999999995,157.141010372568
30.5599999999995,157.281063494039
30.5999999999995,157.253840549347
30.6399999999995,157.238682561999
30.6699999999995,157.371099335928
30.6799999999995,157.31789792334
30.7108333333329,156.777858806019
30.7199999999995,156.560413573794
30.7599999999995,153.90396514348
30.7999999999995,152.304632586408
30.8399999999995,150.905167535045
30.8799999999995,150.208688347573
30.9199999999995,149.691899780757
30.9399999999995,149.123835122561
30.9599999999995,148.68407988718
30.9999999999995,149.306002110897
31.0399999999995,148.078581447293
31.0424999999995,147.898873048932
31.0799999999995,147.075846384424
31.1199999999995,147.129329391582
31.1599999999995,147.30831274854
31.1999999999995,147.353559436019
31.2399999999995,145.344614532625
31.2799999999995,143.677347534165
31.3199999999995,142.922875032046
31.3599999999995,141.80967813683
31.3999999999995,140.476918600007
31.4399999999995,139.42778850778
31.4799999999995,138.309084047727
31.5199999999995,136.022169310541
31.5599999999995,121.853332947792
31.57352599478,119.294449240952
31.5999999999995,110.040271448603
31.6399999999995,92.4826638715681
31.6799999999995,78.9056897872447
31.7199999999995,71.704165833526
31.7599999999995,63.5010646111418
31.7921870147313,80.7282187029582
31.7999999999995,97.1953866566064
31.8078286284752,104.584277315787
31.8399999999995,94.7610969948735
31.8799999999995,76.1823501645221
31.9199999999995,99.5039491330977
31.9599999999995,110.876422334014
31.9999999999995,103.092692724511
32.0399999999995,151.201715452953
32.0799999999995,165.489480708716
