"Plot18"
"Time (sec)","Reaction Force22 (newton)"
14.1199999999999,113.279933163219
14.1599999999999,123.164934199314
14.1999999999999,130.772656377191
14.2399999999999,134.43106906394
14.2799999999999,135.139135161735
14.3199999999999,137.040594015687
14.3599999999999,139.451951916227
14.3999999999999,141.541395225665
14.4399999999999,153.738920736136
14.4799999999999,159.445023302993
14.5199999999999,169.766506500966
14.5599999999999,189.351009083858
14.5999999999999,188.800129990953
14.6399999999999,188.882923576896
14.6799999999999,191.213349898965
14.7199999999999,191.870139523294
14.7599999999999,193.466114979415
14.7999999999999,194.793671505702
14.8399999999999,197.115802537041
14.8799999999999,199.357798548393
14.9199999999999,200.121227017677
14.9599999999999,198.766876347663
14.9999999999999,197.54020414084
15.0399999999999,193.718694403452
15.0799999999999,186.363271822035
15.1199999999999,181.091070538205
15.1199999999999,181.091070538205
15.1599999999999,176.606081663912
15.1599999999999,176.606081663912
15.1999999999999,173.205916931636
15.2399999999999,168.520428258483
15.2799999999999,163.592052806125
15.3199999999998,158.635446380031
15.3199999999998,158.635446380031
15.3599999999998,157.911726123012
15.3925841307473,155.525010106856
15.3999999999998,155.197357839398
15.4399999999998,152.183664668249
15.4799999999998,146.530413523497
15.4946202878963,143.992365867054
15.5199999999998,139.886728975576
15.5543340845583,146.150967453204
15.5599999999998,145.521995286395
15.5999999999998,145.408401996103
15.6399999999998,144.710381404146
15.6606249999998,146.231596136829
15.6799999999998,146.007584155321
15.7099999999998,147.259192356585
15.7199999999998,145.910801017368
15.7599999999998,144.536809472715
15.7999999999998,141.275453583806
15.8399999999998,131.700495444868
15.8799999999998,118.679772996279
15.9199999999998,109.219617954755
15.9599999999998,104.701405684474
15.9999999999998,102.893221073948
16.0399999999998,103.874508789154
16.0799999999998,105.752040705739
16.1199999999998,108.995226909145
16.1599999999998,109.183050999895
16.1999999999998,108.456896198929
16.2399999999998,112.858955920775
16.2799999999998,113.244185065523
16.2799999999998,113.244185065523
16.3199999999998,107.176591740483
16.3599999999998,107.913965831058
16.3863736979165,108.868633615634
16.3999999999998,107.91692207378
16.4399999999998,109.149543830142
16.4799999999998,109.916857448438
16.5199999999998,106.596773559374
16.5599999999998,101.898161428845
16.5999999999998,97.2113452463969
16.6399999999998,94.5278460007226
16.6799999999998,89.6184123332841
16.7199999999998,84.0554588233927
16.7599999999998,77.908214129865
16.7999999999998,52.8938186999786
16.8399999999998,27.0355547488755
16.8799999999998,37.0587778786508
16.9199999999998,35.9928387895985
16.9599999999998,28.8439220299724
16.9999999999998,23.1073580141071
17.0399999999998,18.6872309839403
17.0799999999998,16.0709163917619
17.1199999999998,14.3919265049825
17.1599999999998,13.4207724229958
17.1999999999998,13.2023150389175
17.2328640747068,7.20391936627073
17.2399999999998,1.35783076858095e-20
17.2548483785154,-2.52282799462259e-17
17.2695206342879,-5.37739493910847e-17
17.2799999999998,-7.41621237962015e-17
17.2937387962841,-1.00891697175037e-16
17.3199999999998,-1.51984293440946e-16
17.3599999999998,-2.29806463085735e-16
17.3999999999998,92.0230776307015
17.4399999999998,23.8946011155427
17.4799999999998,23.4008247428377
17.5199999999998,23.5385550396552
17.5599999999998,23.4981247997555
17.5999999999998,23.4199672386222
17.6299999999998,23.4169600620262
17.6399999999998,23.3142172224952
17.6799999999998,23.487517538987
17.7199999999998,23.5890240356861
17.7599999999998,23.5299133949505
17.7999999999998,23.4436647791432
17.8399999999998,23.422882479648
17.8799999999998,23.6086707275268
17.9199999999998,23.5695502297134
17.9599999999998,23.5021097829775
17.9999999999998,23.4415351388412
18.0399999999998,23.6153968887538
18.0799999999998,23.6181407465862
18.1199999999998,23.5614642086139
18.1599999999998,23.4837960227493
18.1999999999998,23.5317284286203
18.2069193334299,23.4774373574306
18.2399999999998,16.4851572856909
18.2799999999998,16.3218902171074
18.3199999999998,11.1614520370714
18.3599999999998,5.04212447215755
18.3999999999998,-1.76060778070927
18.4399999999998,-4.61080246065999
18.4799999999998,-5.66965295626948
18.5199999999998,-6.44103383625888
18.5599999999998,-7.82086296298778
18.5999999999998,-8.68817542331328
18.6399999999998,-9.55393157208559
18.6799999999998,-10.7126448440127
18.7199999999998,-12.0881831248124
18.7599999999998,-13.6958040126573
18.7999999999998,-12.5620447092782
18.8399999999998,-4.19289100881389
18.8799999999998,3.77504732864331
18.9199999999998,8.04083686248527
18.9599999999998,9.17263771808159
18.9999999999998,10.8171348558061
19.0399999999998,12.2129287680518
19.0799999999998,13.1326680423168
19.1199999999998,13.7844232454129
19.1599999999998,13.7707490384608
19.1999999999998,15.5133074159613
19.2399999999998,16.4690227094111
19.2799999999998,17.0092438121977
19.3199999999998,20.6609147159001
19.3599999999998,26.3357911488689
19.3999999999998,27.2508695327036
19.4399999999998,27.9147561743803
19.4799999999998,28.5074670680501
19.5199999999998,28.9814122930379
19.5599999999998,29.29319318396
19.5999999999998,29.7041014656116
19.6399999999998,30.0731808429755
19.6799999999998,30.370337123503
19.7199999999998,30.7284366113071
19.7599999999998,30.8589372757668
19.7999999999998,29.5721168967257
19.8399999999998,29.5515543294874
19.8799999999998,28.7308410342552
19.9199999999998,28.2491786205649
19.9199999999998,28.2491786205649
19.9599999999998,28.2042743518256
19.9999999999998,28.34445935031
19.9999999999998,28.34445935031
20.0399999999998,28.1689093310777
20.0799999999997,27.988166345847
20.1199999999997,27.8727346959717
20.1599999999997,28.1138188692809
20.1999999999997,28.0145027840103
20.2399999999997,27.8440154024886
20.2799999999997,27.6953266335366
20.3199999999997,27.7757995932578
20.3599999999997,27.8751969708413
20.3999999999997,27.7186247776822
20.4399999999997,27.5484733046546
20.4799999999997,27.4166780901416
20.5199999999997,27.1332921072735
20.5599999999997,26.444609945003
20.5999999999997,25.9079491775718
20.6399999999997,24.2836961850871
20.6799999999997,23.0517189041808
20.7199999999997,21.6623110336407
20.7599999999997,21.7685866889246
20.7999999999997,21.9471223789779
20.8399999999997,21.7419884994055
20.8799999999997,21.5802981032876
20.9199999999997,21.6413038915699
20.9599999999997,21.6781034355733
20.9999999999997,21.2874721053374
21.0399999999997,21.0967095679671
21.0799999999997,21.0150304874927
21.1199999999997,20.8393341965491
21.1599999999997,20.2568144986923
21.1999999999997,19.8931176026523
21.2399999999997,19.5223172241509
21.2799999999997,19.1371338053296
21.3199999999997,18.6715220561923
21.3599999999997,17.8724820092166
21.3999999999997,17.3058780517934
21.4399999999997,16.5371082543898
21.4799999999997,15.1354150786244
21.5199999999997,12.9768219833417
21.5599999999997,9.86940455332144
21.5999999999997,1.79573412775023
21.6399999999997,-3.36732299042078e-15
21.6624999999997,-6.14140635881946e-16
21.6799999999997,61.6679268706148
21.7199999999997,18.3539196723752
21.7599999999997,17.9671218673114
21.7999999999997,18.3458671806651
21.8399999999997,18.586338821124
21.8799999999997,18.6328613288951
21.9199999999997,18.9128459542328
21.9599999999997,19.0826155646129
21.9999999999997,19.1504201752185
22.0299999999997,19.0029198221525
22.0399999999997,19.1247105424213
22.0799999999997,19.1633178876552
22.1199999999997,19.4058613862857
22.1599999999997,19.4625506890952
22.1999999999997,19.4617378438404
22.2399999999997,19.4494049341697
22.2799999999997,19.6696803759012
22.3199999999997,19.7189523621563
22.3599999999997,19.7175323623243
22.3799999999997,19.7968455751946
22.3999999999997,19.6806976740818
22.4399999999997,19.774682796032
22.4799999999997,19.8979255086829
22.5199999999997,19.9062906308277
22.5599999999997,19.8620085047491
22.5999999999997,19.8282725886869
22.6399999999997,20.0318111843816
22.6799999999997,20.0428652221168
22.7199999999997,20.0075820150372
